Id,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,False
390,Chimchar,Fire,,309,44,58,44,58,44,61,4,False
617,Accelgor,Bug,,495,80,70,40,100,60,145,5,False
679,Honedge,Steel,Ghost,325,45,80,100,35,37,28,6,False
240,Magby,Fire,,365,45,75,37,70,55,83,2,False
104,Cubone,Ground,,320,50,50,95,40,50,35,1,False
255,Torchic,Fire,,310,45,60,40,70,50,45,3,False
720,HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,True
661,Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,False
597,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,False
268,Cascoon,Bug,,205,50,35,55,25,25,15,3,False
654,Braixen,Fire,,409,59,59,58,90,70,73,6,False
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False
646,KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,True
296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,False
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,False
521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,False
383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
239,Elekid,Electric,,360,45,63,37,65,55,95,2,False
641,TornadusTherian Forme,Flying,,580,79,100,80,110,90,121,5,True
479,RotomWash Rotom,Electric,Water,520,50,65,107,105,107,86,4,False
380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False
362,Glalie,Ice,,480,80,80,80,80,80,80,3,False
409,Rampardos,Rock,,495,97,165,60,65,50,58,4,False
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False
321,Wailord,Water,,500,170,90,45,90,45,60,3,False
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,False
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False
611,Fraxure,Dragon,,410,66,117,70,40,50,67,5,False
710,PumpkabooAverage Size,Ghost,Grass,335,49,66,70,44,55,51,6,False
458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False
638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,True
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False
555,DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,False
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False
359,Absol,Dark,,465,65,130,60,75,60,75,3,False
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False
688,Binacle,Rock,Water,306,42,52,67,39,56,50,6,False
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False
700,Sylveon,Fairy,,525,95,65,65,110,130,60,6,False
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,False
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False
721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True
664,Scatterbug,Bug,,200,38,35,40,27,25,35,6,False
544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,False
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False
501,Oshawott,Water,,308,55,55,45,63,45,45,5,False
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False
54,Psyduck,Water,,320,50,52,48,65,50,55,1,False
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False
180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False
606,Beheeyem,Psychic,,485,75,75,75,125,95,40,5,False
496,Servine,Grass,,413,60,60,75,60,75,83,5,False
647,KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False
579,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,False
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,False
