Id,Name,Stage,Type,Attribute,Memory,Equip Slots,HP,SP,Atk,Def,Int,Spd,Image link
304,Ravemon,Mega,Vaccine,Wind,18,3,1040,143,139,119,139,203,http://digidb.io/images/dot/dot740.png
144,Andromon,Ultimate,Vaccine,Electric,12,3,1040,94,133,157,133,95,http://digidb.io/images/dot/dot342.png
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,http://digidb.io/images/dot/dot387.png
120,Nanimon,Champion,Virus,Earth,6,2,1070,84,108,133,98,81,http://digidb.io/images/dot/dot375.png
269,HiAndromon,Mega,Vaccine,Electric,18,3,1190,114,153,178,138,124,http://digidb.io/images/dot/dot426.png
155,KendoGarurumon,Ultimate,Free,Light,14,2,1410,105,144,128,104,124,http://digidb.io/images/dot/dot681.png
288,MagnaGarurumon (SV),Mega,Free,Light,18,3,1020,138,163,107,119,218,http://digidb.io/images/dot/dot675.png
5,Poyomon,Baby,Free,Neutral,2,0,540,98,54,59,95,86,http://digidb.io/images/dot/dot320.png
274,Puppetmon,Mega,Virus,Plant,18,3,1140,114,163,163,148,124,http://digidb.io/images/dot/dot428.png
272,BanchoLeomon,Mega,Vaccine,Earth,18,3,1630,84,193,188,80,138,http://digidb.io/images/dot/dot049.png
240,Gryphonmon,Mega,Data,Wind,18,3,1260,129,164,104,130,173,http://digidb.io/images/dot/dot083.png
265,Leopardmon,Mega,Data,Light,22,3,990,188,124,114,183,188,http://digidb.io/images/dot/dot739.png
128,BlackGatomon,Champion,Virus,Dark,8,1,690,133,84,84,133,118,http://digidb.io/images/dot/dot043.png
248,ShineGreymon,Mega,Vaccine,Light,20,2,1880,114,203,109,84,158,http://digidb.io/images/dot/dot094.png
53,Veemon,Rookie,Free,Neutral,5,1,1040,74,130,74,53,101,http://digidb.io/images/dot/dot114.png
45,Hagurumon,Rookie,Virus,Electric,4,1,1090,91,66,110,69,71,http://digidb.io/images/dot/dot009.png
333,Sistermon Blanc,Rookie,Vaccine,Light,4,1,880,105,53,72,116,82,http://digidb.io/images/dot/dot781.png
327,OmniShoutmon,None,Free,Fire,20,2,1510,141,166,144,114,165,http://digidb.io/images/dot/dot683.png
312,Alphamon Ouryuken,Ultra,Vaccine,Neutral,25,1,1530,133,179,149,159,153,http://digidb.io/images/dot/dot766.png
156,Gigadramon,Ultimate,Virus,Wind,12,3,1240,94,137,148,113,100,http://digidb.io/images/dot/dot402.png
260,Diaboromon,Mega,Free,Dark,20,2,1680,114,243,104,79,173,http://digidb.io/images/dot/dot632.png
299,MetalSeadramon,Mega,Data,Water,18,3,1430,148,99,139,168,129,http://digidb.io/images/dot/dot434.png
273,Piedmon,Mega,Virus,Dark,18,3,890,178,129,104,183,163,http://digidb.io/images/dot/dot427.png
216,WereGarurumon (Blk),Ultimate,Virus,Earth,12,3,1480,79,183,104,69,148,http://digidb.io/images/dot/dot715.png
182,Knightmon,Ultimate,Data,Neutral,12,3,1140,109,135,158,123,92,http://digidb.io/images/dot/dot718.png
171,SaviorHuckmon,Ultimate,Data,Fire,14,3,1380,94,163,128,79,144,http://digidb.io/images/dot/dot116.png
322,Lucemon SM,Ultra,Virus,Dark,25,2,1490,173,89,124,233,158,http://digidb.io/images/dot/dot435.png
73,Lobomon,Champion,Free,Light,8,1,1180,79,143,95,69,117,http://digidb.io/images/dot/dot680.png
85,Garurumon,Champion,Vaccine,Fire,8,1,890,108,99,94,94,138,http://digidb.io/images/dot/dot012.png
